Case Number,Year,Type,time,Country,Activity,sex,age,fatal
2011.11.22,2011.0,Boating,,USA,Kayaking,M,,N
2011.11.20.R,2011.0,Unprovoked,,PAPUA NEW GUINEA,diving,M,,N
2011.11.12,2011.0,Unprovoked,,BRAZIL,Surfing,M,35.0,N
2011.11.11,2011.0,Unprovoked,Morning,REUNION,diving,M,42.0,N
2011.10.29.,2011.0,Unprovoked,,USA,Surfing,M,27.0,N
2011.10.28.R,2011.0,Unprovoked,,SCOTLAND,Surfing,M,26.0,N
2011.10.28.,2011.0,Provoked,,SOUTH AFRICA,Diving,,,N
2011.10.22,2011.0,Unprovoked,Afternoon,AUSTRALIA,Diving,M,32.0,Y
2011.10.20,2011.0,Unprovoked,,USA,Surfing,M,41.0,N
2011.10.19,2011.0,Unprovoked,Afternoon,AUSTRALIA,Diving,M,50.0,N
2011.10.11,2011.0,Unprovoked,,USA,Surfing,M,,N
2011.10.10,2011.0,Unprovoked,,USA,Surfing,M,,N
2011.10.09,2011.0,Unprovoked,Morning,AUSTRALIA,Swimming,M,64.0,Y
2011.10.05,2011.0,Boating,Morning,REUNION,Canoeing,M,51.0,N
2011.10.02,2011.0,Unprovoked,Afternoon,USA,fishing,M,,N
2011.10.01,2011.0,Unprovoked,,USA,,M,29.0,N
2011.09.30,2011.0,Invalid,Morning,USA,Surfing,M,27.0,
2011.09.28.b,2011.0,Provoked,,DOMINICAN REPUBLIC,Fishing,M,48.0,N
2011.09.28.a,2011.0,Unprovoked,Afternoon,SOUTH AFRICA,Swimming,M,43.0,N
2011.09.24.b,2011.0,Unprovoked,Afternoon,USA,Spearfishing,M,21.0,N
2011.09.24.a,2011.0,Unprovoked,Morning,USA,Jumping,M,5.0,N
2011.09.20,2011.0,Boat,Afternoon,USA,Canoeing,M,,N
2011.09.19,2011.0,Unprovoked,Afternoon,REUNION,boarding,M,38.0,Y
2011.09.17,2011.0,Unprovoked,,KENYA,Swimming,M,17.0,Y
2011.09.16,2011.0,Unprovoked,Morning,USA,Surfing,M,25.0,N
2011.09.11.b,2011.0,Unprovoked,Afternoon,USA,Surfing,M,37.0,N
2011.09.11.a,2011.0,Unprovoked,Afternoon,PAPUA NEW GUINEA,Surfing,M,30.0,N
2011.09.04.b,2011.0,Unprovoked,Afternoon,USA,Surfing,,,N
2011.09.04.a,2011.0,Unprovoked,Afternoon,AUSTRALIA,boarding,M,21.0,Y
2011.09.02,2011.0,Unprovoked,Morning,USA,Surfing,M,19.0,N
2011.08.31,2011.0,Unprovoked,Morning,USA,Surfing,M,19.0,N
2011.08.28.b,2011.0,Invalid,Afternoon,AUSTRALIA,Swimming,M,48.0,
2011.08.28.a,2011.0,Unprovoked,Afternoon,USA,Fishing,F,39.0,N
2011.08.26,2011.0,Unprovoked,Morning,RUSSIA,collecting,M,,N
2011.08.24.b,2011.0,Unprovoked,,USA,Surfing,M,21.0,N
2011.08.24.a,2011.0,Unprovoked,Afternoon,USA,,M,10.0,N
2011.08.23,2011.0,Unprovoked,Morning,SOUTH AFRICA,Surfing,M,49.0,Y
2011.08.18,2011.0,Unprovoked,,RUSSIA,Swimming,M,16.0,N
2011.08.17.c.,2011.0,Unprovoked,Afternoon,USA,Wading,F,,N
2011.08.17.b.,2011.0,Invalid,Afternoon,USA,,M,12.0,
2011.08.17.a,2011.0,Unprovoked,Afternoon,RUSSIA,Swimming,M,25.0,N
2011.08.16.c,2011.0,Unprovoked,Afternoon,FRENCH POLYNESIA,Surfing,M,32.0,N
2011.08.16.b,2011.0,Unprovoked,Night,USA,Floating,M,27.0,N
2011.08.16.a,2011.0,Unprovoked,Afternoon,SEYCHELLES,Swimming,M,30.0,Y
2011.08.15,2011.0,Invalid,,USA,Playing,M,7.0,N
2011.08.11,2011.0,Unprovoked,Afternoon,USA,Swimming,M,54.0,N
2011.08.01,2011.0,Unprovoked,Afternoon,SEYCHELLES,Diving,M,36.0,Y
2011.07.31,2011.0,Invalid,,BRAZIL,Swimming,M,14.0,
2011.07.30,2011.0,Sea Disaster,,PHILIPPINES,,M,43.0,N
2011.07.25,2011.0,Unprovoked,Night,USA,Fishing,M,,N
2011.07.22,2011.0,Unprovoked,Morning,SOUTH AFRICA,Surfing,M,29.0,N
2011.07.19,2011.0,Unprovoked,Afternoon,USA,Boarding,F,6.0,N
2011.07.15,2011.0,Boating,Afternoon,REUNION,Kayaking,M,,N
2011.07.13.b,2011.0,Unprovoked,Night,USA,fishing,M,,N
2011.07.13.a,2011.0,Unprovoked,Afternoon,BAHAMAS,diving,M,54.0,N
2011.07.07.b,2011.0,Unprovoked,Afternoon,USA,Swimming,M,12.0,N
2011.07.07.a,2011.0,Unprovoked,,USA,Fishing,M,14.0,N
2011.07.06,2011.0,Unprovoked,Afternoon,REUNION,Surfing,M,16.0,N
2011.07.05,2011.0,Unprovoked,Morning,COLUMBIA,Kayaking,M,17.0,N
2011.06.30,2011.0,Unprovoked,Afternoon,TURKS & CAICOS,Snorkeling,M,28.0,N
2011.06.29,2011.0,Unprovoked,Morning,BRAZIL,Surfing,M,21.0,N
2011.06.28,2011.0,Unprovoked,Afternoon,SOUTH AFRICA,diving,M,22.0,N
2011.06.26,2011.0,Unprovoked,Afternoon,USA,Playing,F,10.0,N
2011.06.24,2011.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2011.06.21,2011.0,Unprovoked,Afternoon,USA,skiing,M,20.0,N
2011.06.19.b,2011.0,Unprovoked,,TURKS & CAICOS,Spearfishing,M,35.0,N
2011.06.19.a,2011.0,Unprovoked,Afternoon,COSTA RICA,Surfing,M,15.0,Y
2011.06.15,2011.0,Unprovoked,Afternoon,REUNION,Boarding,M,31.0,Y
2011.06.14.R,2011.0,Boating,,UNITED KINGDOM,Fishing,,,N
2011.06.12,2011.0,Unprovoked,Afternoon,USA,diving,M,28.0,N
2011.06.06.R,2011.0,Unprovoked,,COLUMBIA,Spearfishing,M,24.0,N
2011.06.06.b,2011.0,Unprovoked,,USA,Spearfishing,M,28.0,N
2011.06.06.a,2011.0,Unprovoked,Afternoon,USA,Wading,M,19.0,N
2011.06.01,2011.0,Unprovoked,,MALAYSIA,Snorkeling,F,,N
2011.05.30,2011.0,Unprovoked,Afternoon,USA,Standing,F,22.0,N
2011.05.29,2011.0,Unprovoked,,SOUTH AFRICA,Surfing,M,33.0,N
2011.05.25,2011.0,Unprovoked,Afternoon,USA,Surfing,F,,N
2011.05.22,2011.0,Unprovoked,Afternoon,USA,boarding,F,,N
2011.05.21.b,2011.0,Unprovoked,Afternoon,SOUTH AFRICA,Spearfishing,M,28.0,Y
2011.05.13.b,2011.0,Unprovoked,Afternoon,USA,surfing,M,86.0,N
2011.05.21.a,2011.0,Unprovoked,Morning,NEW CALEDONIA,Boarding,M,15.0,Y
2011.05.13.a,2011.0,Unprovoked,Morning,USA,Surfing,M,37.0,N
2011.05.10,2011.0,Provoked,,USA,Fishing,M,,N
2011.05.07.R,2011.0,Invalid,,UNITED ARAB EMIRATES (UAE) (UAE),Fishing,M,43.0,
2011.05.04,2011.0,Unprovoked,,SOUTH AFRICA,Spearfishing,M,37.0,N
2011.04.26,2011.0,Unprovoked,,USA,Spearfishing,M,32.0,N
2011.04.23,2011.0,Unprovoked,Afternoon,AUSTRALIA,Washing,M,17.0,N
2011.04.22,2011.0,Unprovoked,Afternoon,USA,Surfing,M,49.0,N
2011.04.16,2011.0,Unprovoked,Afternoon,NEW ZEALAND,Surfing,M,41.0,N
2011.04.12,2011.0,Unprovoked,Morning,INDONESIA,Surfing,M,,N
2011.04.08,2011.0,Unprovoked,Afternoon,FIJI,Diving,M,27.0,N
2011.03.29.R,2011.0,Provoked,,USA,holding,M,,N
2011.03.24,2011.0,Unprovoked,,MEXICO,Swimming,F,,N
2011.03.23,2011.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,48.0,N
2011.03.21.b,2011.0,Unprovoked,,MEXICO,Swimming,M,46.0,N
2011.03.21.a,2011.0,Unprovoked,Afternoon,FIJI,Diving,M,30.0,N
2011.03.16,2011.0,Unprovoked,Afternoon,AUSTRALIA,Wakeboarding,F,24.0,N
2011.03.10.R,2011.0,Invalid,,EGYPT,,F,,
2011.03.10,2011.0,Unprovoked,,AUSTRALIA,Surfing,M,,N
2011.02.28.R,2011.0,Provoked,Morning,AUSTRALIA,Fishing,M,36.0,N
2011.02.23,2011.0,Unprovoked,Morning,NEW CALEDONIA,Spearfishing,M,21.0,N
2011.02.19,2011.0,Unprovoked,Afternoon,REUNION,Surfing,M,32.0,N
2011.02.17,2011.0,Unprovoked,Afternoon,AUSTRALIA,Diving,M,49.0,Y
2011.02.13,2011.0,Provoked,Morning,AUSTRALIA,Fishing,M,,N
2011.02.12,2011.0,Unprovoked,Afternoon,AUSTRALIA,Snorkeling,M,58.0,N
2011.02.04.R,2011.0,Provoked,,MEXICO,fishing,M,,N
2011.02.02,2011.0,Unprovoked,,SOUTH AFRICA,fishing,M,37.0,N
2011.01.31,2011.0,Unprovoked,Afternoon,MEXICO,Swimming,F,38.0,N
2011.01.28,2011.0,Provoked,,MEXICO,fishing,M,25.0,N
2011.01.26,2011.0,Unprovoked,Afternoon,BAHAMAS,diving,M,55.0,N
2011.01.20,2011.0,Invalid,Afternoon,AUSTRALIA,Swimming,F,7.0,
2011.01.15,2011.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,M,16.0,Y
2011.01.12.R,2011.0,Unprovoked,,MEXICO,Attempting,M,37.0,N
2011.01.03,2011.0,Boat,Afternoon,AUSTRALIA,Fishing,,,N
2010.12.26,2010.0,Unprovoked,Afternoon,USA,boarding,M,16.0,N
2010.12.17,2010.0,Unprovoked,Morning,FIJI,Surfing,M,,N
2010.12.11,2010.0,Unprovoked,Afternoon,USA,Surfing,M,46.0,N
2010.12.05,2010.0,Unprovoked,Afternoon,EGYPT,Snorkeling,F,70.0,Y
2010.12.03.R,2010.0,Unprovoked,,INDONESIA,Surfing,M,,N
2010.12.01.b,2010.0,Unprovoked,Morning,EGYPT,Snorkeling,M,54.0,N
2010.12.01.a,2010.0,Unprovoked,Morning,EGYPT,Snorkeling,M,46.0,N
2010.11.30.b,2010.0,Unprovoked,Afternoon,EGYPT,Snorkeling,F,70.0,N
2010.11.30.a,2010.0,Unprovoked,Afternoon,EGYPT,Snorkeling,F,48.0,N
2010.11.27.R,2010.0,Unprovoked,Morning,SAMOA,Fishing,M,47.0,N
2010.11.27,2010.0,Invalid,,AUSTRALIA,Swimming,M,,
2010.11.19,2010.0,Provoked,Afternoon,USA,Snorkeling,M,33.0,N
2010.11.15,2010.0,Unprovoked,Morning,DOMINICAN REPUBLIC,Diving,M,21.0,Y
2010.11.14,2010.0,Unprovoked,,INDONESIA,Surfing,M,,N
2010.11.12.R,2010.0,Boat,Night,AUSTRALIA,Fishing,M,,N
2010.10.30,2010.0,Unprovoked,Afternoon,AUSTRALIA,Snorkeling,F,20.0,N
2010.10.28.R,2010.0,Unprovoked,,AUSTRALIA,Spearfishing,M,,N
2010.10.28,2010.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2010.10.25,2010.0,Provoked,,AZORES,Fishing,M,,N
2010.10.23.b,2010.0,Unprovoked,Afternoon,USA,diving,M,30.0,N
2010.10.23.a,2010.0,Unprovoked,,AUSTRALIA,Surfing,M,14.0,N
2010.10.22,2010.0,Unprovoked,Morning,USA,boarding,M,19.0,Y
2010.10.20,2010.0,Unprovoked,Morning,EGYPT,Snorkeling,F,,N
2010.10.09,2010.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,22.0,N
2010.10.02.b,2010.0,Unprovoked,,BAHAMAS,Snorkeling,M,,N
2010.10.02.a,2010.0,Unprovoked,Afternoon,BAHAMAS,Surfing,F,,N
2010.10.01,2010.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,M,,N
2010.09.27,2010.0,Unprovoked,Afternoon,USA,Surfing,M,29.0,N
2010.09.24,2010.0,Unprovoked,Afternoon,USA,Surfing,M,18.0,N
2010.09.21,2010.0,Unprovoked,,SOUTH AFRICA,Swimming,M,29.0,Y
2010.09.13,2010.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,15.0,N
2010.09.07,2010.0,Unprovoked,,USA,Swimming,M,27.0,N
2010.09.06.R,2010.0,Unprovoked,Afternoon,TONGA,Swimming,M,24.0,N
2010.09.04,2010.0,Unprovoked,,USA,Surfing,M,,N
2010.09.03.b,2010.0,Unprovoked,Afternoon,USA,Surfing,M,24.0,N
2010.09.03.a,2010.0,Unprovoked,Morning,USA,Surfing,M,24.0,N
2010.09.02,2010.0,Unprovoked,,SOLOMON ISLANDS,,M,34.0,N
2010.08.29,2010.0,Invalid,,BAHAMAS,Swimming,M,43.0,
2010.08.18,2010.0,Unprovoked,Morning,USA,Boarding,M,10.0,N
2010.08.17,2010.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,31.0,Y
2010.08.14,2010.0,Boating,,USA,Fishing,M,45.0,N
2010.08.10.b,2010.0,Provoked,Afternoon,AUSTRALIA,Fishing,F,,N
2010.08.10,2010.0,Unprovoked,Afternoon,SOUTH KOREA,Swimming,F,16.0,N
2010.08.08,2010.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,47.0,N
2010.08.07.b,2010.0,Unprovoked,Afternoon,USA,Surfing,M,25.0,N
2010.08.07.a,2010.0,Unprovoked,,MALTA,Windsurfing,M,35.0,N
2010.08.05,2010.0,Invalid,Afternoon,USA,Swimming,F,,
2010.08.02.b,2010.0,Boating,Afternoon,USA,Kayaking,M,,N
2010.08.02.a,2010.0,Unprovoked,Morning,USA,Standing,F,37.0,N
2010.07.25,2010.0,Unprovoked,,USA,Standing,M,16.0,N
2010.07.23,2010.0,Unprovoked,Afternoon,USA,Surfing,M,20.0,N
2010.07.19,2010.0,Unprovoked,Morning,USA,Swimming,M,10.0,N
2010.07.17.b,2010.0,Unprovoked,Afternoon,USA,Swimming,F,13.0,N
2010.07.17.a,2010.0,Unprovoked,,USA,Surfing,M,55.0,N
2010.07.16.b,2010.0,Provoked,Afternoon,SPAIN,Swimming,M,9.0,N
2010.07.16.a,2010.0,Unprovoked,,USA,Fishing,M,,N
2010.07.11,2010.0,Provoked,,USA,Fishing,M,,N
2010.07.04,2010.0,Unprovoked,,SOUTH AFRICA,Snorkeling,F,21.0,N
2010.07.03,2010.0,Provoked,Afternoon,USA,Fishing,M,20.0,N
2010.07.02.b,2010.0,Unprovoked,Afternoon,USA,Surfing,M,19.0,N
2010.07.02.a,2010.0,Unprovoked,Afternoon,USA,Paddleboarding,M,48.0,N
2010.06.27,2010.0,Unprovoked,,USA,Surfing,M,20.0,N
2010.06.25.b,2010.0,Unprovoked,,USA,Boarding,F,6.0,N
2010.06.25.a,2010.0,Unprovoked,Afternoon,USA,Swimming,F,13.0,N
2010.06.15,2010.0,Unprovoked,Afternoon,VIETNAM,Swimming,M,17.0,N
2010.06.10,2010.0,Unprovoked,Afternoon,USA,Boarding,F,18.0,N
2010.06.06,2010.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,40.0,N
2010.06.00,2010.0,Unprovoked,,USA,Surfing,M,20.0,N
2010.05.30,2010.0,Provoked,Morning,USA,Fishing,M,49.0,N
2010.05.18.c,2010.0,Unprovoked,Afternoon,VIETNAM,Rescuing,F,58.0,N
2010.05.18.b,2010.0,Unprovoked,Afternoon,VIETNAM,Swimming,F,60.0,N
2010.05.18.a,2010.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2010.05.03,2010.0,Unprovoked,Morning,MADAGASCAR,diving,M,59.0,N
2010.05.01,2010.0,Unprovoked,Morning,USA,Wading,F,10.0,N
2010.04.28,2010.0,Provoked,Afternoon,USA,Measuring,M,29.0,N
2010.04.19,2010.0,Unprovoked,Afternoon,USA,Surfing,M,68.0,N
2010.04.13,2010.0,Unprovoked,Morning,SOUTH AFRICA,Surfing,M,35.0,N
2010.04.04,2010.0,Unprovoked,Afternoon,EGYPT,Swimming,M,24.0,N
2010.03.27,2010.0,Unprovoked,Morning,REUNION,Surfing,M,34.0,N
2010.02.19,2010.0,Unprovoked,Night,NEW ZEALAND,Swimming,M,,N
2010.02.16,2010.0,Unprovoked,Morning,SOUTH AFRICA,Surfing,M,,N
2010.02.15,2010.0,Unprovoked,Morning,FIJI,diving,M,19.0,Y
2010.02.13,2010.0,Unprovoked,Afternoon,AUSTRALIA,Snorkeling,F,60.0,N
2010.02.11,2010.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,46.0,N
2010.02.06.R,2010.0,Provoked,,NEW ZEALAND,Spearfishing,M,,N
2010.02.06.b,2010.0,Unprovoked,Afternoon,AUSTRALIA,boarding,M,18.0,N
2010.02.06.a,2010.0,Provoked,Afternoon,USA,fishing,M,,N
2010.02.04,2010.0,Invalid,Morning,GUAM,Spearfishing,M,31.0,
2010.02.03,2010.0,Unprovoked,Afternoon,USA,Boarding,M,38.0,Y
2010.02.01,2010.0,Provoked,Afternoon,NEW ZEALAND,Boarding,F,14.0,N
2010.01.30,2010.0,Unprovoked,,BRAZIL,Surfing,M,29.0,N
2010.01.27,2010.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2010.01.22.b,2010.0,Unprovoked,Afternoon,UNITED ARAB EMIRATES (UAE) (UAE),Surfing,M,54.0,N
2010.01.22.a,2010.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,,N
2010.01.12,2010.0,Unprovoked,Afternoon,SOUTH AFRICA,Standing,M,37.0,Y
2010.01.09.d,2010.0,Unprovoked,,AUSTRALIA,Snorkeling,F,9.0,N
2010.01.09.c,2010.0,Unprovoked,,VIETNAM,,F,,N
2010.01.09.b,2010.0,Unprovoked,Afternoon,VIETNAM,,M,,N
2010.01.09.a,2010.0,Unprovoked,Morning,VIETNAM,Bathing,M,,N
2010.01.06,2010.0,Unprovoked,Morning,USA,Spearfishing,M,32.0,N
2010.01.05,2010.0,Unprovoked,,SOUTH AFRICA,Surfing,M,,N
2009.12.29,2009.0,Unprovoked,Morning,SOUTH AFRICA,Wading,M,20.0,N
2009.12.26,2009.0,Provoked,Morning,AUSTRALIA,Swimming,M,55.0,N
2009.12.22,2009.0,Unprovoked,Afternoon,MOZAMBIQUE,Swimming,M,27.0,N
2009.12.20.b,2009.0,Boating,Morning,AUSTRALIA,Kayaking,M,,N
2009.12.20.a,2009.0,Unprovoked,Morning,AUSTRALIA,Spearfishing,M,18.0,N
2009.12.18,2009.0,Unprovoked,Afternoon,SOUTH AFRICA,Paddling,M,22.0,Y
2009.12.18,2009.0,Invalid,,SOUTH AFRICA,Surfing,M,,
2009.12.16,2009.0,Unprovoked,,NEW ZEALAND,Swimming,M,24.0,Y
2009.12.13,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,39.0,N
2009.12.12,2009.0,Boating,Morning,AUSTRALIA,Rowing,,,N
2009.12.06,2009.0,Provoked,Afternoon,USA,Diving,M,58.0,N
2009.11.25,2009.0,Invalid,Afternoon,USA,Surfing,M,49.0,
2009.11.24,2009.0,Unprovoked,Morning,USA,Wading,M,10.0,N
2009.11.16.b,2009.0,Unprovoked,Afternoon,USA,Fishing,M,31.0,N
2009.11.16.a,2009.0,Unprovoked,Morning,USA,Surfing,M,22.0,N
2009.11.13,2009.0,Unprovoked,Afternoon,USA,Surfing,F,27.0,N
2009.11.11,2009.0,Unprovoked,Afternoon,USA,Surfing,M,18.0,N
2009.11.08,2009.0,Unprovoked,Morning,AUSTRALIA,Kayaking,M,25.0,N
2009.11.05,2009.0,Unprovoked,Night,USA,Surfing,M,21.0,N
2009.10.30,2009.0,Boating,Morning,AUSTRALIA,Kayaking,M,27.0,N
2009.10.29.R,2009.0,Unprovoked,,MOZAMBIQUE,Spearfishing,M,,N
2009.10.28,2009.0,Unprovoked,Morning,AUSTRALIA,Paddle-boarding,F,17.0,N
2009.10.24,2009.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2009.10.19,2009.0,Unprovoked,Morning,USA,Surfing,M,54.0,N
2009.10.18,2009.0,Unprovoked,Afternoon,PANAMA,Wading,F,10.0,N
2009.10.17,2009.0,Provoked,Afternoon,SCOTLAND,Diving,M,23.0,N
2009.10.14.R,2009.0,Unprovoked,,AUSTRALIA,Diving,M,23.0,N
2009.10.09,2009.0,Unprovoked,Morning,USA,Surfing,M,,N
2009.10.02,2009.0,Provoked,Afternoon,UNITED KINGDOM,Fishing,M,39.0,N
2009.09.26,2009.0,Unprovoked,Afternoon,USA,Swimming,M,,N
2009.09.18,2009.0,Unprovoked,,VIETNAM,,M,,N
2009.09.15,2009.0,Provoked,,SOMALIA,Fishing,M,,N
2009.09.13,2009.0,Provoked,,BRAZIL,,M,34.0,Y
2009.09.12,2009.0,Invalid,Night,USA,Swimming,M,60.0,Y
2009.09.07,2009.0,Unprovoked,Afternoon,BRAZIL,attempting,M,15.0,Y
2009.09.02,2009.0,Invalid,,NEVIS,Swimming,M,,
2009.09.01,2009.0,Provoked,,SOLOMON ISLANDS,Fishing,M,,N
2009.08.30,2009.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2009.08.29,2009.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,M,25.0,Y
2009.08.25,2009.0,Unprovoked,Afternoon,USA,Swimming,F,22.0,N
2009.08.11,2009.0,Unprovoked,Afternoon,SOUTH AFRICA,boarding,M,,N
2009.08.10,2009.0,Unprovoked,Afternoon,USA,Swimming,M,26.0,N
2009.08.06,2009.0,Unprovoked,Morning,USA,Surfing,M,,N
2009.08.01,2009.0,Unprovoked,Morning,USA,Fishing,M,56.0,N
2009.07.31,2009.0,Unprovoked,,BAHAMAS,Spearfishing,M,14.0,N
2009.07.30,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,14.0,N
2009.07.29,2009.0,Unprovoked,Afternoon,VIETNAM,Swimming,F,41.0,N
2009.07.24.R,2009.0,Unprovoked,,KENYA,Washing,M,,Y
2009.07.24.b,2009.0,Unprovoked,Afternoon,USA,Wading,F,14.0,N
2009.07.24.a,2009.0,Invalid,Morning,SPAIN,Swimming,F,11.0,
2009.07.22.b,2009.0,Unprovoked,Afternoon,USA,Swimming,F,26.0,N
2009.07.22.a,2009.0,Unprovoked,Afternoon,USA,Swimming,F,19.0,N
2009.07.18,2009.0,Unprovoked,,VIETNAM,Swimming,M,57.0,N
2009.07.11.b,2009.0,Provoked,,BAHAMAS,Spearfishing,M,,N
2009.07.11.a,2009.0,Unprovoked,Morning,USA,Paddle-surfing,M,,N
2009.07.07,2009.0,Unprovoked,Morning,SOUTH AFRICA,Surfing,M,37.0,N
2009.07.05,2009.0,Unprovoked,Afternoon,USA,Boarding,F,12.0,N
2009.07.04,2009.0,Provoked,Afternoon,USA,Swimming,F,43.0,N
2009.06.27,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,52.0,N
2009.06.21,2009.0,Invalid,,USA,Surfing,M,26.0,
2009.06.16,2009.0,Invalid,Afternoon,USA,Crawling,M,14.0,
2009.06.14.R,2009.0,Provoked,,VIETNAM,Fishing,M,,N
2009.06.02.b,2009.0,Unprovoked,,EGYPT,diving,M,,N
2009.06.02.a,2009.0,Unprovoked,,EGYPT,diving,M,,N
2009.06.01,2009.0,Unprovoked,Morning,EGYPT,Snorkeling,F,50.0,Y
2009.05.31,2009.0,Provoked,Night,TAIWAN,Fishing,M,46.0,N
2009.05.25,2009.0,Provoked,Night,USA,Swimming,M,,N
2009.05.17,2009.0,Unprovoked,Morning,USA,Surfing,M,31.0,N
2009.05.16.b,2009.0,Unprovoked,Morning,USA,Surfing,M,49.0,N
2009.05.16.a,2009.0,Unprovoked,Morning,USA,Surfing,M,55.0,N
2009.05.12,2009.0,Provoked,Afternoon,GUAM,Spearfishing,M,27.0,N
2009.05.06,2009.0,Provoked,,BAHAMAS,Spearfishing,M,48.0,N
2009.04.28,2009.0,Unprovoked,Afternoon,USA,,F,,N
2009.04.25.R,2009.0,Unprovoked,Morning,USA,Surfing,M,,N
2009.04.21,2009.0,Unprovoked,Afternoon,USA,Surfing,M,20.0,N
2009.04.20,2009.0,Unprovoked,Night,PHILIPPINES,Swimming,M,23.0,N
2009.04.19,2009.0,Unprovoked,Afternoon,USA,Surfing,M,52.0,N
2009.04.17.,2009.0,Unprovoked,Afternoon,USA,Surfing,M,31.0,N
2009.04.11,2009.0,Invalid,,USA,Spearfishing,M,49.0,
2009.04.12,2009.0,Unprovoked,Morning,AUSTRALIA,skiing,M,40.0,N
2009.04.06.b,2009.0,Invalid,Morning,SOUTH AFRICA,Swimming,M,24.0,
2009.04.06.a,2009.0,Unprovoked,Morning,USA,Spearfishing,M,,N
2009.04.03,2009.0,Unprovoked,Afternoon,USA,Wading,M,15.0,N
2009.03.27,2009.0,Provoked,,SOUTH AFRICA,Fishing,M,59.0,N
2009.03.21,2009.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,M,16.0,Y
2009.03.20,2009.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,17.0,N
2009.03.19.b,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,,N
2009.03.19.a,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,F,,N
2009.03.18.a,2009.0,Unprovoked,Afternoon,USA,Surfing,F,17.0,N
2009.03.17.R,2009.0,Unprovoked,,MALAYSIA,Feeding,F,,N
2009.03.17,2009.0,Unprovoked,Night,USA,Swimming,M,61.0,N
2009.03.16.R,2009.0,Provoked,,AUSTRALIA,Wading,M,21.0,N
2009.03.06,2009.0,Unprovoked,Morning,NEW CALEDONIA,Surfing,M,19.0,Y
2009.03.02,2009.0,Provoked,Afternoon,SOUTH AFRICA,Fishing,M,40.0,N
2009.03.01.b,2009.0,Boatomg,,NEW ZEALAND,Fishing,M,,N
2009.03.01.a,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,15.0,N
2009.02.22,2009.0,Unprovoked,Morning,AUSTRALIA,Fishing,M,,N
2009.02.18,2009.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2009.02.12,2009.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,33.0,N
2009.02.11,2009.0,Unprovoked,Before 07h00,AUSTRALIA,,M,31.0,N
2009.02.08,2009.0,Sea Disaster,,USA,,M,,Y
2009.02.07.b,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,41.0,N
2009.02.07.a,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,,N
2009.01.27.R,2009.0,Provoked,,AZORES,Fishing,M,49.0,N
2009.01.26.R,2009.0,Invalid,,BRAZIL,,M,17.0,
2009.01.25,2009.0,Unprovoked,Morning,CUBA,Spearfishing,M,15.0,N
2009.01.24.c,2009.0,Boat,Afternoon,NEW ZEALAND,Fishing,,,N
2009.01.24.b,2009.0,Unprovoked,Afternoon,AUSTRALIA,Swimming,M,19.0,N
2009.01.24.a,2009.0,Unprovoked,Afternoon,SOUTH AFRICA,Swimming,M,25.0,Y
2009.01.23,2009.0,Invalid,,BRAZIL,Swimming,M,17.0,
2009.01.18,2009.0,Boat,Morning,AUSTRALIA,Fishing,M,,N
2009.01.16,2009.0,Unprovoked,,NEW ZEALAND,Surfing,M,,N
2009.01.13.R,2009.0,Unprovoked,,SOUTH AFRICA,,,,Y
2009.01.12,2009.0,Unprovoked,Morning,AUSTRALIA,Snorkeling,M,24.0,N
2009.01.11.b,2009.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,F,13.0,N
2009.01.11.a,2009.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,31.0,N
2009.01.10.R,2009.0,Boat,,NEW ZEALAND,Fishing,,,N
2009.01.10.a,2009.0,Unprovoked,,ECUADOR,Surfing,M,22.0,N
