Case Number,Year,Type,time,Country,Activity,sex,age,fatal
2017.10.05,2017.0,Unprovoked,Afternoon,USA,Snorkeling,F,40.0,N
2017.10.01,2017.0,Invalid,,SOUTH AFRICA,Diving,M,31.0,
2017.09.25.b,2017.0,Unprovoked,Morning,USA,Surfing,M,,N
2017.09.25.a,2017.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2017.09.24.b,2017.0,Invalid,Afternoon,USA,Surfing,M,33.0,
2017.09.24.a,2017.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2017.09.20,2017.0,Unprovoked,Morning,USA,Surfing,M,,N
2017.09.16.b,2017.0,Unprovoked,,SPAIN,surfing,M,13.0,N
2017.09.16.a,2017.0,Unprovoked,Afternoon,USA,Surfing,M,28.0,N
2017.09.15.b,2017.0,Invalid,Afternoon,SOUTH AFRICA,Diving,M,25.0,
2017.09.15.a,2017.0,,Night,SAMOA,Fishing,M,,N
2017.09.14,2017.0,Boating,,AUSTRALIA,Fishing,,,N
2017.09.13,2017.0,Unprovoked,Afternoon,USA,Surfing,M,18.0,N
2017.09.10.b,2017.0,Unprovoked,Afternoon,AUSTRALIA,Swimming,M,,N
2017.09.10.a,2017.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,35.0,N
2017.09.06.R,2017.0,Unprovoked,,SOLOMON ISLANDS,Spearfishing,M,,N
2017.09.03.b,2017.0,Unprovoked,Morning,SOUTH AFRICA,poaching,M,,Y
2017.09.03.a,2017.0,Unprovoked,Morning,JAPAN,Surfing,M,42.0,N
2017.09.02.c,2017.0,Unprovoked,,USA,Swimming,M,,N
2017.09.02.b,2017.0,Unprovoked,,USA,Swimming,F,,N
2017.09.02.a,2017.0,Unprovoked,Morning,USA,Surfing,M,17.0,N
2017.08.29,2017.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,37.0,N
2017.08.27,2017.0,Unprovoked,Afternoon,USA,Wading,F,3.0,N
2017.08.26.b,2017.0,Invalid,Afternoon,SPAIN,Swimming,F,11.0,
2017.08.26.a,2017.0,Unprovoked,,NEW ZEALAND,Canoeing,M,,N
2017.08.23,2017.0,Unprovoked,Morning,USA,,M,69.0,N
2017.08.18,2017.0,Unprovoked,Afternoon,BAHAMAS,Spearfishing,M,,N
2017.08.10,2017.0,Unprovoked,Afternoon,USA,Swimming,M,13.0,N
2017.08.05,2017.0,Unprovoked,,EGYPT,Snorkeling,F,20.0,N
2017.08.03,2017.0,Provoked,Night,USA,Fishing,M,34.0,N
2017.08.01,2017.0,Boating,Morning,USA,Kayaking,M,,N
2017.07.31,2017.0,Unprovoked,Afternoon,USA,Skimboarding,M,15.0,N
2017.07.29.c,2017.0,Invalid,Afternoon,USA,Swimming,M,10.0,
2017.07.29.a,2017.0,Unprovoked,Afternoon,USA,,F,12.0,N
2017.07.27,2017.0,Unprovoked,,BAHAMAS,Snorkeling,F,,N
2017.07.26.R,2017.0,Unprovoked,,BAHAMAS,Spearfishing,M,,N
2017.07.24,2017.0,Unprovoked,Afternoon,"ST HELENA, British overseas territory",Surfing,M,37.0,N
2017.07.23.b,2017.0,Unprovoked,,USA,,F,,N
2017.07.23.a,2017.0,Unprovoked,Afternoon,SPAIN,Swimming,F,,N
2017.07.22,2017.0,Unprovoked,Afternoon,USA,,F,40.0,N
2017.07.20.c,2017.0,Invalid,,USA,Swimming,F,8.0,
2017.07.20.b,2017.0,Boating,Morning,USA,Kayaking,M,40.0,N
2017.07.20.a,2017.0,Unprovoked,Morning,USA,,M,50.0,N
2017.07.14.b,2017.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2017.07.14.a,2017.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,,N
2017.07.11,2017.0,Boating,Morning,USA,Kayaking,M,,N
2017.07.09,2017.0,Unprovoked,Afternoon,USA,Swimming,M,46.0,N
2017.07.07.R,2017.0,Provoked,,MEXICO,Fishing,M,32.0,N
2017.07.07,2017.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,F,13.0,N
2017.07.02,2017.0,Invalid,,COMOROS,Fishing,,,
2017.06.29,2017.0,Invalid,Afternoon,USA,Fishing,M,,
2017.06.21,2017.0,Unprovoked,,USA,Swimming,F,16.0,N
2017.06.19,2017.0,Unprovoked,Morning,USA,Surfing,M,,N
2017.06.18.b,2017.0,Unprovoked,,USA,Swimming,F,14.0,N
2017.06.18.a,2017.0,Unprovoked,Morning,REUNION,boarding,M,34.0,N
2017.06.17,2017.0,Unprovoked,Afternoon,SPAIN,Swimming,M,82.0,N
2017.06.05,2017.0,Unprovoked,,FRENCH POLYNESIA,Surfing,M,,N
2017.06.14.R,2017.0,Unprovoked,,BAHAMAS,Feeding,F,,N
2017.06.11,2017.0,Unprovoked,Morning,AUSTRALIA,boarding,M,48.0,N
2017.06.10.b,2017.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,F,,N
2017.06.10.a,2017.0,Unprovoked,Morning,USA,Surfing,M,19.0,N
2017.06.07.R,2017.0,Unprovoked,,UNITED KINGDOM,Surfing,M,30.0,N
2017.06.04,2017.0,Unprovoked,,USA,Spearfishing,M,,N
2017.06.02,2017.0,Unprovoked,Morning,BAHAMAS,Snorkeling,F,32.0,N
2017.05.30,2017.0,Provoked,,USA,Touching,F,20.0,N
2017.05.28,2017.0,Unprovoked,Morning,USA,Feeding,M,,N
2017.05.27,2017.0,Invalid,,AUSTRALIA,Fishing,M,73.0,N
2017.05.12,2017.0,Unprovoked,Morning,UNITED ARAB EMIRATES (UAE),Spearfishing,M,41.0,N
2017.05.06.R,2017.0,Provoked,,AUSTRALIA,Attempting,M,29.0,N
2017.05.06,2017.0,Unprovoked,Afternoon,MEXICO,Snorkeling,M,33.0,Y
2017.05.03,2017.0,Invalid,Afternoon,USA,Surfing,F,18.0,
2017.04.29.d,2017.0,Unprovoked,Afternoon,USA,Swimming,F,,N
2017.04.29.c,2017.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,M,14.0,N
2017.04.29.b,2017.0,Unprovoked,Morning,USA,Surfing,F,33.0,N
2017.04.29.a,2017.0,Unprovoked,Morning,REUNION,boarding,M,28.0,Y
2017.04.27,2017.0,Unprovoked,Afternoon,NEW ZEALAND,boarding,F,,N
2017.04.26,2017.0,Invalid,,USA,,F,,
2017.04.22,2017.0,Unprovoked,Afternoon,"ST HELENA, British overseas territory",Snorkeling,F,40.0,N
2017.04.20,2017.0,Invalid,Morning,USA,Swimming,M,,
2017.04.17.b,2017.0,Unprovoked,Afternoon,USA,,,,N
2017.04.17.a,2017.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,F,17.0,Y
2017.04.14,2017.0,Unprovoked,Morning,USA,Surfing,M,28.0,N
2017.04.13,2017.0,Unprovoked,Afternoon,USA,Surfing,M,17.0,N
2017.04.12.b,2017.0,Unprovoked,Afternoon,USA,Surfing,F,,N
